Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C42, C43, C5, C6, C7, C8, C9",0603,42,100nf / 50 V / 0603,
C41,CP_EIA-7343-20_Kemet-V_HandSolder,1,Chip Tantal D size 220uF 10V,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",D_SOD-323,40,1N4148WS,
F1,F1812,1,MF-MSMF110/16-2,C210834
J1,PinHeader_1x04_P2.00mm_Vertical,1,USB_Mele,
J2,PinHeader_1x04_P2.00mm_Vertical,1,I2C,
J3,PinHeader_1x02_P2.00mm_Vertical,1,BATT,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED5, LED6, LED7, LED8, LED9",LED_MX_6028R,40,MX_SK6812MINI-E,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX5, MX6, MX7, MX8, MX9",SW_MX_HS_CPG151101S11_1u,40,MX_SW_HS,
R1,0603,1,220Ω,
"R2, R3",0603,2,5.1KΩ,
R4,0603,1,43.2KΩ,
R5,0603,1,100Ω,
R6,0603,1,100KΩ,
"S1, S2",STAB_MX_P_2.25u,2,choc_stab,
SW1,SW-TH_C49563377,1,SS12D11-WG5,C49563377
SW2,KEY-SMD_L4.0-W3.0-LS4.9-1,1,HX 3X4X2-2P-1.6N TACTILE SWITCH,C49234124
U1,SC-70-6_L2.0-W1.3-P0.65-LS2.1-BL,1,LM66100DCKR,C2869734
U2,pro_micro_rp2040,1,~,
"U3, U4",SOT-23-6,2,USBLC6-2SC6,
U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS2553DBVR,C55266
U6,SC-70-5_L2.0-W1.3-P0.65-LS2.1-BL,1,SN74AHCT1G125DCKR,C350557
"USB1, USB2",USB-C-SMD_TYPE-C-16PIN-2MD-073,2,TYPE-C 16PIN 2MD,C2765186
